Subject,Credits,Department
Physics,5.0,CSE
Digital Electronics & Computer Organization,4.0,CSE
Mathematics-I,4.0,CSE
Communication Skills for Engineers,3.0,CSE
Verbal Competence and Speaking Skills ,2.0,CSE
Environmental Studies,2.0,CSE
Introduction to Data Science,2.0,CSE
Introduction to AI & ML,2.0,CSE
Linux Administration Lab,1.0,CSE
Programming in C,4.0,CSE
Intro to Cyber Security,2.0,CSE
Python Programming ,4.0,CSE
Basic Architecture of Mac OS X,3.0,CSE
Java Foundation,1.0,CSE
Discrete Structures,4.0,CSE
Introduction to Cloud Computing,2.0,CSE
Design and Analysis of Algorithms,5.0,CSE
Object Oriented Programming,4.0,CSE
Introduction to Cyber Security,2.0,CSE
Emerging Technologies,2.0,CSE
Fundamentals in Quantitative Aptitude,2.0,CSE
Data Structures and Algorithms,5.0,CSE
Machine Learning ,4.0,CSE
Web Designing & Development,4.0,CSE
Data Communication and Networking,5.0,CSE
Operating System,4.0,CSE
Professional Ethics & Human Values,0.0,CSE
Internship Evaluation,2.0,CSE
Principles of programming languages  (DE-2),4.0,CSE
Human Computer Interaction (DE-2),4.0,CSE
Distributed Computing (DE-3),4.0,CSE
Multimedia systems (DE-3),4.0,CSE
Fundamentals of  Financial  Accounting,3.0,CSE
Macro Perspective,2.0,CSE
Corporate soft skills,1.0,CSE
Introduction to Machine Learning,4.0,CSE
Introduction To big data tools and technique,4.0,CSE
Information Security Governance,4.0,CSE
Cloud computing Concepts,4.0,CSE
Bitcoin and Cryptocurrencies,4.0,CSE
Introduction to UI/UX,4.0,CSE
 Computational Linguistics and Natural Language Processing,4.0,CSE
"Mobile Application Development
with Xcode",4.0,CSE
Software Project Management (DE - 5),4.0,CSE
OE1,3.0,CSE
OE2,3.0,CSE
Major Project - 1,4.0,CSE
Applications of ML in Industry (SP-4),4.0,CSE
Business Intelligence  (SP-4),4.0,CSE
Cloud scripting using PaaS (SP-4),4.0,CSE
Application and Data security (SP-4),4.0,CSE
Dynamic Paradigm in Graphics and Gaming  (SP-4),4.0,CSE
Natural Language Processing (SP-5),3.0,CSE
Data Handling & Visualization tools (SP-5),3.0,CSE
Ethical Hacking and Cyber Security(SP-5),3.0,CSE
Cloud Security (SP-5) ,3.0,CSE
"Web Programming for Graphics & Gaming (HTML 5 & web GL) , (SP-5)",3.0,CSE
Natural Language Processing lab (SP-5 Lab),2.0,CSE
Data Handling & Visualization tools lab (SP-5 Lab),2.0,CSE
Ethical Hacking and Cyber Security Lab (SP-5 Lab),2.0,CSE
Cloud Security lab (SP-5 Lab),2.0,CSE
 Web Programming for Graphics & Gaming (HTML 5 & web GL) with lab(SP-5 Lab),2.0,CSE
Application of Machine Learning in Industries,3.0,CSE
Applied Mathematics,3.0,CSE
Programming for Problem Solving using C,4.0,CSE
Fundamentals of Computers and IT,4.0,CSE
Introduction to Cyber Security,4.0,CSE
Technical Communication,2.0,CSE
Foundation in Quantitative Aptitude,1.0,CSE
Introduction to AI,3.0,CSE
Design Concepts and User Interface Design,3.0,CSE
Introduction to Artificial Intelligence,3.0,CSE
Database Management System,4.0,CSE
Digital Electronics,3.0,CSE
Human Values and Ethics,2.0,CSE
"Human Computer Interaction

(Minor 1)",3.0,CSE
Principles of Management & Organizational Behaviour,2.0,CSE
Open Elective offered by another Department/School /programme,3.0,CSE
Basics of Python Programming,3.0,CSE
JavaScript,3.0,CSE
Computer Graphics,3.0,CSE
Object Oriented Programming with C++,4.0,CSE
Cloud Computing,4.0,CSE
"Introduction to Management &
 Entrepreneurship Development",2.0,CSE
Data Visualization & Analytics (DE-3),4.0,CSE
"Summer Internship
 Assesment",2.0,CSE
Advance Quantitative Aptitude,1.0,CSE
iOS fundamentals,5.0,CSE
Discrete Mathematical Structures,3.0,CSE
Artificial Intelligence,3.0,CSE
Operating System with Linux Shell Scripting,4.0,CSE
Indian Knowledge System,2.0,CSE
Research Methodology,1.0,CSE
Capstone Project,1.0,CSE
Software Engineering,2.0,CSE
Python Programming,4.0,CSE
Advance Computer Networks,3.0,CSE
Full Stack Development,5.0,CSE
Cloud Computing (minor-2),2.0,CSE
Advanced Analytical Skills,1.0,CSE
Soft Skill Mastery,1.0,CSE
Project Phase 1,2.0,CSE
Industrial Internship Evaluation,2.0,CSE
